"ID","BillLength","HeadLength","TarsusLength","BodyMass","day"
"GG916","18.48","53.79","28.41","270","8"
"GG916","23.09","65.2","39.82","460","11"
"GG916","33.32","88.15","56.75","800","18"
"GG916","41.12","100.4","63.35","1290","23"
"GG916","45.83","112.21","63.62","1400","28"
"GG916","49.08","116.47","64.36","1560","33"
"GG916","51.25","123.76","65.73","1650","39"
"GG913","12.25","38.57","18.08","96","4"
"GG913","15.85","46.21","25.17","192","7"
"GG913","25.29","69.81","43.44","470","14"
"GG913","32.43","87.38","56.17","990","19"
"GG913","38.74","97.63","63.4","1080","24"
"GG913","43.13","110.25","64.93","1580","29"
"GG913","47.85","115.88","66.24","1650","35"
"GG936","12.3","34.51","16.08","73","3"
"GG936","21.62","59.4","30.79","270","10"
"GG936","28.68","74","45.65","590","15"
"GG936","36.38","91.63","56.75","940","20"
"GG936","43.43","104.3","62.88","1420","25"
"GG936","47.77","115.24","63.25","1520","31"
"GG938","10.43","34.41","14.3","53","1"
"GG938","16.83","46.15","27.97","196","8"
"GG938","23.69","68.11","45.09","650","13"
"GG938","31.33","85.07","57.38","940","18"
"GG938","37.46","100.59","66.56","1460","23"
"GG938","42.77","111.96","67.95","1620","29"
"GG908","29.16","79.16","54.01","810","14"
"GG908","40.99","97.06","64.84","1140","21"
"GG908","44.95","105.93","68.03","1500","26"
"GG908","49.14","115.34","68.08","1600","31"
"GG908","51.47","119.09","66.63","1710","36"
"GG908","53.37","122.61","66.55","1900","42"
"GG932","9.88","30.84","13.16","45","1"
"GG932","18.51","50.68","25.95","195","8"
"GG932","24.18","68.59","40.7","600","13"
"GG932","32.59","86.06","54.2","950","18"
"GG932","40.31","104.91","64.15","1520","23"
"GG932","47.29","117.57","67.05","1600","29"
"GG975","10.24","36.01","13.54","66","1"
"GG975","15.07","46","23.26","188","8"
"GG975","20.86","56.47","37.09","430","13"
"GG975","28.89","79.86","52.88","920","18"
"GG975","38.36","98.63","63.77","1530","23"
"GG975","43.7","112.41","67.87","1990","29"
"GG920","11.43","31.36","15.88","60","1"
"GG920","14.46","40.3","20.88","133","4"
"GG920","24.85","63.13","39.08","390","11"
"GG920","29.64","82.82","53.55","900","16"
"GG920","39.03","98.64","63.22","1100","21"
"GG920","44.67","107.22","66.1","1590","26"
"GG920","49.57","119.54","66.44","1600","32"
"GG909","12.77","41.27","18.96","98","4"
"GG909","17.45","46.25","26.09","202","7"
"GG909","27.28","75.23","43.33","440","14"
"GG909","33.59","84.87","56.63","1040","19"
